Date,price,short_ma,long_ma,position,signal,executed_position,market_return,strategy_return_gross,trade_occurred,transaction_cost,strategy_return_net,strategy_equity,buy_hold_equity
2019-03-29,253.8140106201172,246.42881591796876,244.99405502319337,1,0.0,1.0,0.00630579268060294,0.00630579268060294,0.0,0.0,0.00630579268060294,1.1276887672361364,1.3773185801805878
2019-04-01,256.823974609375,246.8605224609375,245.05286811828614,1,0.0,1.0,0.011858935532770065,0.011858935532770065,0.0,0.0,0.011858935532770065,1.1410619556278188,1.393652112431036
2019-04-02,256.9498291015625,247.23212524414063,245.10922569274902,1,0.0,1.0,0.0004900418365494374,0.0004900418365494374,0.0,0.0,0.0004900418365494374,1.1416211237241713,1.3943350602717226
2019-04-03,257.3541564941406,247.67622344970704,245.16917236328126,1,0.0,1.0,0.001573565524413345,0.001573565524413345,0.0,0.0,0.001573565524413345,1.1434175393664057,1.396529137852047
2019-04-04,258.03704833984375,248.12413879394532,245.2350567626953,1,0.0,1.0,0.002653510069570819,0.002653510069570819,0.0,0.0,0.002653510069570819,1.1464516093208383,1.4002348419817865
2019-04-05,259.285888671875,248.59452728271484,245.31187744140624,1,0.0,1.0,0.004839771420677819,0.004839771420677819,0.0,0.0,0.004839771420677819,1.1520001730548195,1.4070116585522472
2019-04-08,259.48358154296875,249.02897033691406,245.38760620117188,1,0.0,1.0,0.0007624513316415449,0.0007624513316415449,0.0,0.0,0.0007624513316415449,1.1528785171208165,1.4080844364649456
2019-04-09,258.1538391113281,249.47295989990235,245.4643448638916,1,0.0,1.0,-0.005124572521057247,-0.005124572521057247,0.0,0.0,-0.005124572521057247,1.146970507551862,1.400868605654509
2019-04-10,259.034423828125,249.94082275390625,245.54327316284179,1,0.0,1.0,0.003411085110444967,0.003411085110444967,0.0,0.0,0.003411085110444967,1.1508829215722916,1.405647087696947
2019-04-11,258.9624938964844,250.33263885498047,245.63839813232423,1,0.0,1.0,-0.0002776848365464435,-0.0002776848365464435,0.0,0.0,-0.0002776848365464435,1.1505633388363306,1.4052567608151578
2019-04-12,260.7146911621094,250.71745513916017,245.73962837219239,1,0.0,1.0,0.006766220232360842,0.006766220232360842,0.0,0.0,0.006766220232360842,1.1583483037781777,1.4147650375418472
2019-04-15,260.54388427734375,251.09652923583985,245.84996475219725,1,0.0,1.0,-0.0006551486761420255,-0.0006551486761420255,0.0,0.0,-0.0006551486761420255,1.157589413420446,1.4138381561004496
2019-04-16,260.7146911621094,251.44502655029297,245.9543376159668,1,0.0,1.0,0.0006555781773169844,0.0006555781773169844,0.0,0.0,0.0006555781773169844,1.1583483037781777,1.4147650375418472
2019-04-17,260.07672119140625,251.76036590576172,246.05379409790038,1,0.0,1.0,-0.002447004301366573,-0.002447004301366573,0.0,0.0,-0.002447004301366573,1.1555138204963518,1.4113031014095594
2019-04-18,260.5887145996094,252.09238647460938,246.15324348449707,1,0.0,1.0,0.001968624511481387,0.001968624511481387,0.0,0.0,0.001968624511481387,1.1577885933267364,1.414081427288124
2019-04-22,260.8134765625,252.4754211425781,246.2580661010742,1,0.0,1.0,0.0008625161041067031,0.0008625161041067031,0.0,0.0,0.0008625161041067031,1.1587872046336318,1.415301095291678
2019-04-23,263.15850830078125,252.89945098876953,246.3648304748535,1,0.0,1.0,0.008991221501237545,0.008991221501237545,0.0,0.0,0.008991221501237545,1.1692061170632926,1.4280263809303897
2019-04-24,262.5745849609375,253.3091195678711,246.45844924926757,1,0.0,1.0,-0.0022189035179374095,-0.0022189035179374095,0.0,0.0,-0.0022189035179374095,1.166611761496947,1.4248577281700359
2019-04-25,262.4128723144531,253.653291015625,246.5402808380127,1,0.0,1.0,-0.0006158731870734568,-0.0006158731870734568,0.0,0.0,-0.0006158731870734568,1.1658932765933163,1.4239801964998615
2019-04-26,263.634765625,254.00597778320312,246.62379531860353,1,0.0,1.0,0.0046563771806233945,0.0046563771806233945,0.0,0.0,0.0046563771806233945,1.1713221154414877,1.4306107853925032
2019-04-29,264.0481262207031,254.37784423828126,246.71840728759764,1,0.0,1.0,0.0015679290048229433,0.0015679290048229433,0.0,0.0,0.0015679290048229433,1.173158665360279,1.4328538815375327
2019-04-30,264.182861328125,254.69890991210937,246.80258125305176,1,0.0,1.0,0.00051026723556169,0.00051026723556169,0.0,0.0,0.00051026723556169,1.1737572897893276,1.4335850199266287
2019-05-01,262.1971740722656,254.97167266845702,246.87585243225098,1,0.0,1.0,-0.007516336396224732,-0.007516336396224732,0.0,0.0,-0.007516336396224732,1.16493493515175,1.4228097126642716
2019-05-02,261.6311340332031,255.2230972290039,246.94740058898927,1,0.0,1.0,-0.0021588334850111135,-0.0021588334850111135,0.0,0.0,-0.0021588334850111135,1.162420034605885,1.4197381034137728
2019-05-03,264.1918640136719,255.54344879150392,247.02675003051758,1,0.0,1.0,0.009787558311556976,0.009787558311556976,0.0,0.0,0.009787558311556976,1.1737972884771122,1.4336338728880744
2019-05-06,263.1046447753906,255.81128295898438,247.09805137634277,1,0.0,1.0,-0.004115263891037113,-0.004115263891037113,0.0,0.0,-0.004115263891037113,1.168966802880445,1.4277340911780105
2019-05-07,258.7109375,255.98444274902343,247.1520768737793,1,0.0,1.0,-0.016699466781141314,-0.016699466781141314,0.0,0.0,-0.016699466781141314,1.149445680587486,1.4038916931500804
2019-05-08,258.3514404296875,256.15399169921875,247.20572135925292,1,0.0,1.0,-0.001389570436358123,-0.001389570436358123,0.0,0.0,-0.001389570436358123,1.147848444851542,1.4019408867574303
2019-05-09,257.5697937011719,256.31005401611327,247.25315567016602,1,0.0,1.0,-0.0030255172071640413,-0.0030255172071640413,0.0,0.0,-0.0030255172071640413,1.1443756096304272,1.397699290481119
2019-05-10,258.8636474609375,256.50129852294924,247.30081748962402,1,0.0,1.0,0.005023313258800677,0.005023313258800677,0.0,0.0,0.005023313258800677,1.1501241668033317,1.404720371858809
2019-05-13,252.35833740234375,256.53130432128904,247.305327835083,1,0.0,1.0,-0.025130257270192358,-0.025130257270192358,0.0,0.0,-0.025130257270192358,1.1212212505988983,1.369419387521317
2019-05-14,254.6405487060547,256.62520385742187,247.3242156982422,1,0.0,1.0,0.009043534393208263,0.009043534393208263,0.0,0.0,0.009043534393208263,1.1313610535410854,1.3818037788510922
2019-05-15,256.13214111328125,256.7557339477539,247.3590608215332,1,0.0,1.0,0.005857638992713632,0.005857638992713632,0.0,0.0,0.005857638992713632,1.1379881581631452,1.3898978865463694
2019-05-16,258.5043029785156,256.96394439697264,247.4122745513916,1,0.0,1.0,0.009261476731985852,0.009261476731985852,0.0,0.0,0.009261476731985852,1.1485276090112486,1.402770393482455
